"x","y","location"
1106952.04926958,7634833.18421712,"extension buffer"
753942.127808333,7980658.45878264,"extension buffer"
79374.4936332935,7142268.23388842,"extension buffer"
136900.514566653,7189795.98162738,"extension buffer"
21848.4726999337,7094740.48614946,"extension buffer"
226360.257672374,7357889.74193365,"extension buffer"
-115819.527256908,6950479.94583718,"extension buffer"
1084203.79954167,8010265.84284408,"extension buffer"
185223.761704886,7240119.22452535,"extension buffer"
1208799.64450675,7874752.9160859,"extension buffer"
970676.349883333,7561150.24985891,"extension buffer"
1022279.73609167,8028632.56932024,"extension buffer"
1011959.05885,7589968.97176109,"extension buffer"
502829.910654915,6999125.89163974,"extension buffer"
1217318.32326916,7826106.97028333,"extension buffer"
463000.79734921,6658604.2710218,"extension buffer"
275820.041417744,7534231.29546795,"extension buffer"
-81566.8815523733,6999125.89163974,"extension buffer"
857148.900225,8028262.24287601,"extension buffer"
240744.430536331,7418697.17418686,"extension buffer"
476636.145089036,6707250.21682436,"extension buffer"
1193212.41509481,7728815.0786782,"extension buffer"
553929.248810662,7840847.46524515,"extension buffer"
805545.514016667,7513874.4102229,"extension buffer"
145022.17055,6368988.49718719,"extension buffer"
-171654.513066873,6804542.10842949,"extension buffer"
537688.467555292,7047771.83744231,"extension buffer"
366844.634147042,7661132.35742611,"extension buffer"
466137.149002655,7770679.93431262,"extension buffer"
510033.198906658,7805763.69977889,"extension buffer"
597825.298714665,7875931.23071142,"extension buffer"
-186520.226192047,6609958.32521923,"extension buffer"
397854.73060457,7702163.59304886,"extension buffer"
411160.834585163,6512666.4336141,"extension buffer"
304824.441231987,7579069.88618061,"extension buffer"
722980.096083333,7463357.04300598,"extension buffer"
1193788.56453444,7923398.86188846,"extension buffer"
970676.349883333,8040035.40586874,"extension buffer"
-142082.765124115,6901834.00003462,"extension buffer"
-160356.595153996,6853188.05423205,"extension buffer"
1123486.51275437,7645339.67209574,"extension buffer"
428440.822173179,6561312.37941667,"extension buffer"
445720.809761194,6609958.32521923,"extension buffer"
335834.537689514,7620101.12180336,"extension buffer"
587883.702617614,7241342.42099467,"extension buffer"
650602.842631088,7381201.06045499,"extension buffer"
629696.462626596,7334581.51396821,"extension buffer"
608790.082622105,7287961.96748144,"extension buffer"
1135807.18575,7988136.97813674,"extension buffer"
351435.715383333,6438967.99084468,"extension buffer"
475408.070933355,6950479.94583718,"extension buffer"
360333.878913608,6804254.47344391,"inside region"
890816.727417474,7650961.86321951,"inside region"
-2699.24859938004,6452636.27686835,"extension buffer"
958701.143519025,7928664.62325271,"inside region"
510945.050547261,7654738.50042333,"inside region"
344173.052913986,6985847.04952354,"inside region"
691655.907705157,7791599.33137539,"inside region"
1027769.8664394,7720470.05320206,"extension buffer"
407055.059437109,7461395.31214633,"inside region"
1095636.21982649,7889727.88503212,"inside region"
758937.523774856,7625245.19283894,"inside region"
188848.777765185,6640597.27712765,"inside region"
409451.728924605,7121539.1368493,"inside region"
576355.342844774,7523838.53527513,"inside region"
309818.174714529,6525189.42003109,"extension buffer"
851686.049907979,7919238.69938129,"inside region"
-85224.8828001707,6611046.56384242,"inside region"
45806.7784916348,6803498.11697183,"inside region"
81720.6477015478,6432064.77888192,"extension buffer"
286731.718479874,7165361.43730403,"inside region"
1124868.76236021,7797440.64562816,"extension buffer"
70519.5344814174,6569602.44851591,"inside region"
468448.447882471,7697752.03617121,"extension buffer"
549673.79817539,7735501.51808855,"extension buffer"
433524.978911701,7620748.56564201,"extension buffer"
910767.753488356,7593363.64744847,"extension buffer"
665155.210422043,7849197.54714642,"extension buffer"
767067.081786196,7861191.23367092,"inside region"
202883.044403756,6881757.54518806,"inside region"
423480.970708041,7291574.60953503,"inside region"
77687.7978357716,6968576.73093884,"inside region"
206806.851245946,7040839.65124748,"inside region"
330851.807374752,6665486.60507454,"inside region"
880553.108777019,7786457.02389243,"inside region"
523759.43278997,7386978.79565399,"inside region"
634298.268547921,7634585.06830534,"inside region"
240063.363878266,6758605.35050192,"inside region"
17098.7747705505,6682211.5361056,"inside region"
-65617.8920382434,6765831.02965587,"inside region"
179368.652835377,6522289.19880811,"extension buffer"
314945.928793086,7271980.96848591,"inside region"
1004132.87942221,7828182.55132242,"inside region"
-18394.8637333632,6901514.9799725,"inside region"
117759.153270583,6722426.48430972,"inside region"
340633.812785131,7376592.12791893,"inside region"
810272.760572837,7712997.05042074,"inside region"
673105.237879537,7543749.91821872,"extension buffer"
475097.298016109,7201719.36643375,"extension buffer"
324949.646929539,7078643.19402613,"inside region"
378449.04424533,6897382.03621155,"extension buffer"
138816.880556756,6813580.81502245,"inside region"
498058.20871103,7475392.22056098,"inside region"
720642.182221926,7706539.74484668,"inside region"
-19527.9265795954,6544570.66203256,"inside region"
368553.738735352,7200752.13276999,"inside region"
203000.89916542,7131193.47906812,"extension buffer"
529131.434535601,7295687.15090596,"extension buffer"
288543.446442065,6913420.55287429,"inside region"
115340.386483996,7052785.38417129,"extension buffer"
635202.400869444,7721282.79844735,"inside region"
502529.52850456,7568740.65198214,"inside region"
436286.359451487,7378517.96067239,"inside region"
64180.2942497228,6885567.54653009,"inside region"
-86182.9629445459,6849048.08876312,"extension buffer"
268604.918716423,6603093.48774999,"inside region"
395032.605484822,6724366.76322434,"extension buffer"
445678.439700638,7048156.74021057,"extension buffer"
926690.0874023,7853679.48007219,"inside region"
