"dataset","n_groups","n_cells","eta2_group","eta2_region","eta2_interaction","eta2_residual","dominant"
"birds",21,30492,0.0206263191047258,0.927203305422474,0.0244189812090946,0.0277513942637053,"region"
"fungi",20,29040,0.0407058555828002,0.922473189610215,0.0292493209907052,0.00757163381627924,"region"
"vascularPlants",19,27588,0.0413924340174289,0.893099194420429,0.0559415842863523,0.0095667872757895,"region"
"newbirds",20,29040,0.0656952086139876,0.850361467590079,0.0659415568568135,0.0180017669391199,"region"
