"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Tromso",420,1.69787574415577e-05,1.30741599997415e-05,6.67037972855316e-05
"Lakselv",420,4.81116134319434e-06,3.88429674421499e-06,2.04835147464586e-05
"Valdres",420,1.73893653794784e-06,1.4643799078811e-06,8.08186023466568e-06
"Setesdal",420,1.38803008398299e-06,1.15154970134668e-06,5.78260257231121e-06
"Trondheim",420,1.00391028041195e-06,7.98447732170181e-07,4.90142881362019e-06
"Oslo",420,2.59391899348039e-07,2.13705667221774e-07,9.41413047921051e-07
