"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Lakselv",380,8.70631537814258e-06,7.00388445190605e-06,3.06538064548844e-05
"Tromso",380,4.83563755910392e-06,1.38442143137886e-06,3.18983495284035e-05
"Setesdal",380,9.08367834455872e-07,6.42127908731483e-07,4.55840377484562e-06
"Trondheim",380,7.87337167240851e-07,5.47157386850966e-07,4.62188903993354e-06
"Valdres",380,6.44346134382584e-07,4.765091979718e-07,2.9947669920994e-06
"Oslo",380,2.25726474495887e-07,1.80142627309105e-07,1.01787899058601e-06
