"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Valdres",380,1.70978995549983e-06,1.16897407107699e-06,1.1268897093368e-05
"Trondheim",380,1.3250576465135e-06,6.8593028191008e-07,1.05273699093476e-05
"Setesdal",380,7.77024790619454e-07,2.49550426162742e-07,6.71883868479149e-06
"Tromso",380,4.11002902042669e-07,3.60611170835362e-07,1.18602191627649e-06
"Lakselv",380,3.95320294003476e-07,3.18721375431825e-07,2.23498305956266e-06
"Oslo",380,1.31283616469395e-07,1.10102820163793e-07,4.27744077844036e-07
