"swapped_region","n_swaps","mean_abs_change","median_abs_change","max_abs_change"
"Setesdal",342,1.12260676042302e-05,8.85276322691001e-06,4.31062389579213e-05
"Lakselv",342,4.43699750917106e-06,2.43850077916738e-06,3.34403228621342e-05
"Trondheim",342,1.4796305999709e-06,8.42139044072243e-07,1.34739470274932e-05
"Valdres",342,1.44194176849255e-06,1.24823038530493e-06,6.19466369483602e-06
"Tromso",342,9.87409460232595e-07,7.98191225488626e-07,3.49415425139711e-06
"Oslo",342,5.43224339209473e-07,2.80674805222457e-07,3.52168374303561e-06
